Anno,Regione,Comune,Localita,Codice stazione,Bacino idrografico,Corpo idrico,Livello di contaminazione,Campioni,Misure,n misure positive,Sostanze cercate,Sostanze trovate,Pesticidi totali,x,y
2020,Lombardia,Gavardo/Villanova,,N00806000413IR1,CHIESE SUBLACUALE- Chiese (Fiume),dal Vrenda di Odolo al confine Her,Non quantificabile,6,705,1,110,0,0.037,1162182.39780775,5715119.36043571
2020,Lombardia,Lovero,ponte per Nova,N0080014LO1,ADDA PRELACUALE- Adda (Fiume),dal Rezzalasco alla traversa di Sernio,Non quantificabile,4,473,2,110,0,0.048,1138297.38681437,5818334.79752872
2020,Lombardia,Berbenno,ponte S.Pietro,N0080016LO1,ADDA PRELACUALE- Adda (Fiume),dal Mallero a traversa di Ardenno,Non quantificabile,5,591,2,110,0,0.044,1084594.70483975,5805913.41476045
2020,Lombardia,Calolziocorte/Olginate,,N0080019LO1,ADDA SUBLACUALE- Adda (Fiume),da Olginate alla traversa di Robbiate (Edison),Non quantificabile,2,232,2,107,0,0.023,1047980.42687063,5748945.6462248
2020,Lombardia,Teglio ,Monegatti,N0080011061LO1,ADDA PRELACUALE- Caronella (Torrente),dalla sorgente alla immissione in Adda,Non quantificabile,3,354,0,109,0,,1123599.64194394,5803101.6256094
2020,Lombardia,Trescore Balneario,,N0080600032LO1,OGLIO SUBLACUALE- Cherio (Fiume),dal lago d'Endine al confine Her,Non quantificabile,4,473,0,110,0,,1096351.75316049,5730772.67326235
2020,Lombardia,Ubiale Clanezzo,a monte della centrale idroelettrica,N008001006432LO1,BREMBO- Imagna (Torrente),dal Val Coegia alla immissione in Brembo,Non quantificabile,4,228,0,57,0,,1069001.38215638,5742030.15079783
2020,Lombardia,Prata Camportaccio,ponte via mulino,N008001018101LO1,MERA- Schiesone (Torrente),dalla sorgente alla immissione nel Mera,Non quantificabile,4,473,0,110,0,,1046389.9081467,5827662.04991409
2020,Lombardia,Bene Lario,,N00809803505031LO1,LAGO DI LUGANO (CERESIO)-Civagno (Torrente),dalla sorgente all'immissione nel lago di Piano,Non quantificabile,4,472,0,109,0,,1022723.53358409,5785050.16805072
2020,Lombardia,Marmirolo,,N008056012LO1,MINCIO,Begotta (Rio),Non quantificabile,3,354,0,109,0,,1196138.11673426,5652434.63655737
2020,Lombardia,Montù Beccaria,,N0082451IR2,Po,Versa (Torrente),Entro i limiti,3,349,6,108,3,0.186,1035800.16089706,5630207.815988
2020,Lombardia,Gazzuolo,,POOG3AACA1LO1,OGLIO SUBLACUALE- Acque Alte (Canale),ACQUE ALTE,Superiore ai limiti,4,472,18,109,4,0.923,1177166.88631638,5633552.33988337
2020,Lombardia,Ispra,,N0080980011LO1,LAGO MAGGIORE (VERBANO),Acquanegra (Torrente),Superiore ai limiti,5,590,13,109,2,0.802,960586.288295714,5751282.80142447
2020,Lombardia,S. Zenone Po,,N0080612LO1,Po- Olona Meridionale (Fiume),da Pontelungo alla immissione in Po,Entro i limiti,5,474,23,107,5,0.646,1042294.22723187,5638679.96871349
2020,Lombardia,Gavirate,,N0080981151LO4,LAGO MAGGIORE,Bardello (Fiume),Entro i limiti,6,477,10,110,1,0.227,968682.134923503,5754071.77258711
