Comune,Livello di contaminazione,count
mongrando,Non quantificabile,1
monguelfo-tesido,Non quantificabile,1
monreale,Superiore ai limiti,3
monsampolo del tronto,Entro i limiti,1
monsummano terme,Entro i limiti,1
monsummano terme,Superiore ai limiti,1
montagna in valtellina,Non quantificabile,1
montaguto(av),Non quantificabile,1
montaione,Non quantificabile,1
montalbano jonico,Non quantificabile,1
montale,Non quantificabile,1
montalto di castro,Non quantificabile,1
montanaso lombardo,Entro i limiti,1
montaquila,Non quantificabile,1
monte romano,Non quantificabile,1
montecastello,Superiore ai limiti,1
montecchia di crosara,Non quantificabile,1
montecorice(sa),Superiore ai limiti,1
montefalco,Entro i limiti,1
monteforte d'alpone,Entro i limiti,2
montegranaro,Non quantificabile,1
montelibretti,Non quantificabile,1
montemurlo,Non quantificabile,2
montemurro,Non quantificabile,1
montenero di bisaccia,Non quantificabile,1
montepulciano,Entro i limiti,1
monterchi,Non quantificabile,1
montesanosullamarcellana(sa),Non quantificabile,1
montesarchio(bn),Non quantificabile,1
montescaglioso,Non quantificabile,3
monteviale,Entro i limiti,1
montichiari,Superiore ai limiti,1
montjovet,Non quantificabile,1
montodine,Superiore ai limiti,1
montopoli in val d'arno,Non quantificabile,1
montorio al vomano,Non quantificabile,2
montoro(av),Non quantificabile,1
montorso vicentino,Non quantificabile,1
montù beccaria,Entro i limiti,1
morciano di romagna,Non quantificabile,1
morcone(bn),Non quantificabile,2
morgex,Non quantificabile,1
mori,Entro i limiti,1
morigerati(sa),Non quantificabile,3
mornico al serio,Superiore ai limiti,1
morrone del sannio,Non quantificabile,1
mosciano sant'angelo,Non quantificabile,1
motta de' conti,Superiore ai limiti,2
motta di livenza,Entro i limiti,1
mozzanica,Entro i limiti,1
muccia,Non quantificabile,1
mussolente,Non quantificabile,1
nago-torbole,Non quantificabile,2
nanto,Entro i limiti,1
nardò,Superiore ai limiti,1
narni,Entro i limiti,2
narzole,Non quantificabile,1
neive,Entro i limiti,1
nembro,Entro i limiti,1
nemi,Non quantificabile,1
nemoli,Non quantificabile,1
neviano degli arduini,Non quantificabile,1
niscemi,Entro i limiti,1
noale,Entro i limiti,2
nogara,Entro i limiti,1
nogara,Superiore ai limiti,2
nogarole rocca,Entro i limiti,1
nola(na),Entro i limiti,1
nola(na),Superiore ai limiti,1
nomi,Entro i limiti,2
novara,Entro i limiti,2
novara,Superiore ai limiti,1
novella,Entro i limiti,1
novella,Non quantificabile,1
noventa padovana,Non quantificabile,1
noventa padovana,Superiore ai limiti,1
noventa vicentina,Superiore ai limiti,1
numana,Non quantificabile,2
nuvolento,Non quantificabile,1
occimiano,Superiore ai limiti,1
oderzo,Entro i limiti,1
oleggio,Entro i limiti,1
olevanosultusciano(sa),Entro i limiti,1
omegna,Non quantificabile,1
oppeano,Entro i limiti,1
orbetello,Entro i limiti,2
orbetello,Non quantificabile,1
orio litta,Superiore ai limiti,1
ortona,Non quantificabile,1
orvieto,Entro i limiti,1
orvieto,Superiore ai limiti,1
osimo,Non quantificabile,1
ostellato,Superiore ai limiti,1
ostra,Non quantificabile,1
otranto,Non quantificabile,1
ottobiano,Superiore ai limiti,1
oviglio,Superiore ai limiti,1
paderno dugnano,Superiore ai limiti,1
padova,Entro i limiti,1
padova,Superiore ai limiti,1
paladina,Entro i limiti,1
palagiano,Entro i limiti,1
palagiano,Superiore ai limiti,1
palazzago,Non quantificabile,1
palazzolo sull'oglio,Non quantificabile,1
palermo,Superiore ai limiti,1
palma di montechiaro,Superiore ai limiti,1
palosco,Superiore ai limiti,3
parabiago,Non quantificabile,1
parma,Entro i limiti,1
partinico,Entro i limiti,1
partinico,Superiore ai limiti,1
paternopoli(av),Superiore ai limiti,1
pavia,Superiore ai limiti,2
pedaso,Non quantificabile,1
pegognaga,Superiore ai limiti,1
pelago,Entro i limiti,1
pelago,Non quantificabile,1
pellegrino parmense,Non quantificabile,1
pellezzano(sa),Non quantificabile,1
pergine valsugana,Entro i limiti,1
pergine valsugana,Non quantificabile,2
pergola,Non quantificabile,1
perledo,Entro i limiti,1
pernumia,Entro i limiti,1
pernumia,Non quantificabile,1
pero,Superiore ai limiti,1
perugia,Superiore ai limiti,1
pesaro,Non quantificabile,3
